subsystem,notes,contributor_id,date_created,date_updated,subsystem_id
others,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",155
bicycles,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",156
cargo,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",157
"street lights",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",158
"transmission distribution",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",159
"generation equipment",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",160
"construction machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",161
cans,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",162
"other packaging",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",163
products,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",164
"aggregate production of engineering materials",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",165
"primary smelting refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",166
"secondary smelting refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",167
"cable sheathing product",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",168
"smelting and refining",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",169
"high grade ore",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",170
"FeCr alloys",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",171
"steel alloys",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",172
"Cr metal",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",173
mining,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",174
separation,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",175
"smelting and converting",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",176
concentration,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",177
smelting,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",178
dissipative,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",179
devices,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",180
"source and device fabricators",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",181
"agricultural soil",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",182
"animal processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",183
