process_name,notes,contributor_id,date_created,date_updated,process_name_id
refrigerators_freezers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",196
washing_machines,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",197
microwaves,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",198
"electric pots cookers",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",199
"electrical non white goods",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",200
"electric fans",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",201
"dvd vcd players",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",202
"cameras camcorders",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",203
"mobile phones",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",204
"stereos radios",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",205
"air filters",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",206
"electric heaters",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",207
sterilizers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",208
"fax machines",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",209
"pots pans",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",210
printers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",211
copiers,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",212
"ordinary machinery",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",213
mining,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",214
"oil gas extraction",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",215
"timber processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",216
"food processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",217
"beverage processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",218
"tobacco cigarettes",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",219
textiles,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",220
furniture,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",221
paper,NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",222
"petroleum processing",NULL,1,"2019-02-04 14:46:58","2019-02-04 14:46:58",223
