substance,subsystem acronym,subsystem name,subsystem,process name,process
2,F&M,sand castings,2;1;1;3;1',sand castings product,1
2,F&M,sand castings,2;1;1;3;1',sand castings scrap,2
2,F&M,sand castings,2;1;1;3;1',sand castings waste,3
2,F&M,mold castings,2;1;1;3;2',mold castings product,1
2,F&M,mold castings,2;1;1;3;2',mold castings scrap,2
2,F&M,mold castings,2;1;1;3;2',mold castings waste,3
2,F&M,die castings,2;1;1;3;3',die castings product,1
2,F&M,die castings,2;1;1;3;3',die castings scrap,2
2,F&M,die castings,2;1;1;3;3',die castings waste,3
2,F&M,other castings,2;1;1;3;4',other castings product,1
2,F&M,other castings,2;1;1;3;4',other castings scrap,2
2,F&M,other castings,2;1;1;3;4',other castings waste,3
2,F&M,other,2;1;1;4,forgings impacts,1'
2,F&M,other,2;1;1;4,powder paste,2'
2,F&M,forgings impacts,2;1;1;4;1',forgings impacts product,1
2,F&M,forgings impacts,2;1;1;4;1',forgings impacts scrap,2
2,F&M,forgings impacts,2;1;1;4;1',forgings impacts waste,3
2,F&M,powder paste,2;1;1;4;2',powder paste product,1
2,F&M,powder paste,2;1;1;4;2',powder paste scrap,2
2,F&M,powder paste,2;1;1;4;2',powder paste waste,3
2,USE,aggregate use,3,use,1
2,USE,use,3;1,transport,1
2,USE,use,3;1,construction,2
2,USE,use,3;1,industrial machinery,3
2,USE,use,3;1,consumer durables,4
2,USE,use,3;1,electrical,5
2,USE,use,3;1,containers packaging,6
2,USE,use,3;1,other,7
2,USE,transport,3;1;1,automotives,1
2,USE,transport,3;1;1,bicycles,2
2,USE,transport,3;1;1,aerospace,3
2,USE,transport,3;1;1,marine,4
2,USE,transport,3;1;1,rail,5
2,USE,transport,3;1;1,cargo,6
2,USE,construction,3;1;2,residential,1
2,USE,construction,3;1;2,nonresidential,2
2,USE,construction,3;1;2,signs,3
2,USE,construction,3;1;2,street lights,4
2,USE,industrial machinery,3;1;3,manufacturing machinery,1
2,USE,industrial machinery,3;1;3,construction machinery,2
2,USE,industrial machinery,3;1;3,agricultural machinery,3
2,USE,consumer durables,3;1;4,household durables,1
2,USE,consumer durables,3;1;4,commercial durables,2
2,USE,electrical,3;1;5,transmission distribution,1
2,USE,electrical,3;1;5,transformation,2
2,USE,electrical,3;1;5,generation equipment,3
2,USE,containers packaging,3;1;6,cans,1
2,USE,containers packaging,3;1;6,other packaging,2
2,USE,automotives,3;1;1;1,passenger vehicles,1
2,USE,automotives,3;1;1;1,freight vehicles,2
2,USE,automotives,3;1;1;1,specialty vehicles,3
2,USE,automotives,3;1;1;1,trailers,4
